TABLE NO.  1
 TVAL        DV          DV2         IPRED       IPRED2
  1.0000E+00  5.2228E+01  6.8095E+01  2.9815E+01  3.4906E+01
  2.0000E+00  2.9393E+01  3.1236E+01  2.9815E+01  3.4906E+01
  3.0000E+00  3.5704E+01  5.2959E+01  2.9815E+01  3.4906E+01
  4.0000E+00  2.7953E+01  3.0284E+01  2.9815E+01  3.4906E+01
  5.0000E+00  3.0263E+01  3.4871E+01  2.9815E+01  3.4906E+01
  6.0000E+00  2.0382E+01  2.4847E+01  2.9815E+01  3.4906E+01
  7.0000E+00  2.5310E+01  2.8848E+01  2.9815E+01  3.4906E+01
  8.0000E+00  3.3189E+01  1.7620E+01  2.9815E+01  3.4906E+01
  9.0000E+00  2.0471E+01  3.5412E+01  2.9815E+01  3.4906E+01
  1.0000E+01  3.5838E+01  2.8554E+01  2.9815E+01  3.4906E+01
  1.1000E+01  2.6526E+01  3.3748E+01  2.9815E+01  3.4906E+01
  1.2000E+01  3.1642E+01  3.4712E+01  2.9815E+01  3.4906E+01
  1.3000E+01  3.3961E+01  3.7405E+01  2.9815E+01  3.4906E+01
  1.4000E+01  1.6768E+01  1.4262E+01  2.9815E+01  3.4906E+01
  1.5000E+01  1.5132E+01  1.9330E+01  2.9815E+01  3.4906E+01
  1.6000E+01  4.7195E+01  8.9051E+01  2.9815E+01  3.4906E+01
  1.7000E+01  3.8559E+01  6.8898E+01  2.9815E+01  3.4906E+01
  1.8000E+01 -5.7433E+01 -3.6211E+01  2.9815E+01  3.4906E+01
  1.9000E+01  3.0301E+01  1.7050E+01  2.9815E+01  3.4906E+01
  2.0000E+01  3.1183E+01  4.0354E+01  2.9815E+01  3.4906E+01
  2.1000E+01 -2.3364E+00  1.0126E+01  2.9815E+01  3.4906E+01
  1.0000E+01  3.3483E+01  4.2538E+01  2.9815E+01  3.4906E+01
  1.1000E+01  3.9321E+01  4.5242E+01  2.9815E+01  3.4906E+01
  1.2000E+01  2.0928E+01  2.8741E+01  2.9815E+01  3.4906E+01
  1.3000E+01  3.2848E+01  4.8177E+01  2.9815E+01  3.4906E+01
  1.4000E+01  2.6770E+01  9.5254E+01  2.9815E+01  3.4906E+01
  1.5000E+01  2.3213E+01  1.4446E+01  2.9815E+01  3.4906E+01
  1.6000E+01  2.9879E+01  3.7176E+01  2.9815E+01  3.4906E+01
  1.7000E+01  2.5028E+01  3.3431E+01  2.9815E+01  3.4906E+01
  1.8000E+01  2.3399E+01  3.9669E+01  2.9815E+01  3.4906E+01
  1.9000E+01  2.6605E+01  3.5942E+01  2.9815E+01  3.4906E+01
  2.0000E+01  3.0664E+01  3.4573E+01  2.9815E+01  3.4906E+01
  2.1000E+01  1.8343E+01  2.4672E+01  2.9815E+01  3.4906E+01
  1.0000E+01  5.0099E+00  1.4413E+01  2.9815E+01  3.4906E+01
  1.1000E+01  4.7050E+01  6.3976E+01  2.9815E+01  3.4906E+01
  1.2000E+01  4.6967E+01  5.1862E+01  2.9815E+01  3.4906E+01
  1.3000E+01  2.2416E+01  2.8164E+01  2.9815E+01  3.4906E+01
  1.4000E+01  2.9003E+01  2.6533E+01  2.9815E+01  3.4906E+01
  1.5000E+01  2.9902E+01  4.7729E+01  2.9815E+01  3.4906E+01
  1.6000E+01  2.9176E+01  2.6706E+01  2.9815E+01  3.4906E+01
  1.7000E+01  1.2270E+01  9.4557E+00  2.9815E+01  3.4906E+01
  1.8000E+01  1.8562E+01  2.7213E+01  2.9815E+01  3.4906E+01
  1.9000E+01  2.2826E+01  2.6148E+01  2.9815E+01  3.4906E+01
  2.0000E+01  2.5414E+01  1.9334E+01  2.9815E+01  3.4906E+01
  2.1000E+01  5.1790E+01  7.3700E+01  2.9815E+01  3.4906E+01
  1.0000E+01  2.6637E+01  3.3851E+01  2.9815E+01  3.4906E+01
  1.1000E+01  4.8971E+01  6.6265E+01  2.9815E+01  3.4906E+01
  1.2000E+01  2.1870E+01  1.3747E+01  2.9815E+01  3.4906E+01
  1.3000E+01  4.1615E+01  5.3042E+01  2.9815E+01  3.4906E+01
